GHM;MCO;CAS;DA;GP;GA;Classif PKCS;Libracine;Recours;Regroupement GHM PH
07C07;Chirurgie;Chirurgie;Digestif;Chir. hépato-biliaire et pancréatique;Autres chirurgies foie, pancréas, voies biliaires;Chirurgie digestive;Interventions diagnostiques sur le système hépato-biliaire et pancréatique pour affections non malignes;non  ;Chir diag hépato-biliaire, pancréas, affection non maligne (coelio/laparo explo)
07C08;Chirurgie;Chirurgie;Digestif;Chir. hépato-biliaire et pancréatique;Autres chirurgies foie, pancréas, voies biliaires;Chirurgie digestive;Autres interventions sur le système hépato-biliaire et pancréatique;non  ;Autres interventions sur le système hépato-biliaire et pancréatique
07C09;Chirurgie;Chirurgie;Digestif;Chir. hépato-biliaire et pancréatique;Autres chirurgies foie, pancréas, voies biliaires;Chirurgie digestive;Interventions sur le foie, le pancréas et les veines porte ou cave pour tumeurs malignes;oui  ;Chir foie, pancréas et veines porte ou cave pour tumeur maligne
07C10;Chirurgie;Chirurgie;Digestif;Chir. hépato-biliaire et pancréatique;Autres chirurgies foie, pancréas, voies biliaires;Chirurgie digestive;Interventions sur le foie, le pancréas et les veines porte ou cave pour affections non malignes;non  ;Chir foie, pancréas, veine porte ou cave, affection non maligne
07C11;Chirurgie;Chirurgie;Digestif;Chir. hépato-biliaire et pancréatique;Autres chirurgies foie, pancréas, voies biliaires;Chirurgie digestive;Dérivations biliaires;non  ;Dérivations biliaires
07C12;Chirurgie;Chirurgie;Digestif;Chir. hépato-biliaire et pancréatique;Autres chirurgies foie, pancréas, voies biliaires;Chirurgie digestive;Autres interventions sur les voies biliaires sauf cholécystectomies isolées;non  ;Autre Chir voies biliaires hors cholécystectomies isolées
07C13;Chirurgie;Chirurgie;Digestif;Chir. hépato-biliaire et pancréatique;Cholécystectomies;Chirurgie digestive;Cholécystectomies sans exploration de la voie biliaire principale pour affections aigües;non  ;Cholécystectomies
07C14;Chirurgie;Chirurgie;Digestif;Chir. hépato-biliaire et pancréatique;Cholécystectomies;Chirurgie digestive;Cholécystectomies sans exploration de la voie biliaire principale à l'exception des affections aigües;non  ;Cholécystectomies
07K06;Médecine;Acte peu invasif;Digestif;Hépato-Gastro-Entérologie, sans acte opératoire, avec anesthésie;Activité interventionnelle en Hépato-Gastro-Entérologie;Hépato-Gastro-Entérologie;Actes thérapeutiques par voie vasculaire pour des affections malignes du système hépatobiliaire;non  ;Acte thérapeutique, voie vasculaire pour affection maligne hépatobiliaire
07M02;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Autres affections hépatiques, voies biliaires;Hépato-Gastro-Entérologie;Affections des voies biliaires;non  ;Affection voie biliaire (obstruction...)
07M04;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Autres affections hépatiques, voies biliaires;Hépato-Gastro-Entérologie;Autres affections hépatiques;non  ;Autres affections hépatiques
07M06;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Affections hépatiques sévères et affections du pancréas;Hépato-Gastro-Entérologie;Affections malignes du système hépato-biliaire ou du pancréas;non  ;Affections malignes du système hépato-biliaire ou du pancréas
07M07;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Hépatites, cirrhoses;Hépato-Gastro-Entérologie;Cirrhoses alcooliques;non  ;Cirrhoses alcooliques
07M08;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Hépatites, cirrhoses;Hépato-Gastro-Entérologie;Autres cirrhoses et fibrose hépatique;non  ;Autres cirrhoses et fibrose hépatique
07M09;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Hépatites, cirrhoses;Hépato-Gastro-Entérologie;Hépatites chroniques;non  ;Hépatites chroniques
07M10;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Affections hépatiques sévères et affections du pancréas;Hépato-Gastro-Entérologie;Pancréatites aigües;non  ;Pancréatites aigües
07M11;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Affections hépatiques sévères et affections du pancréas;Hépato-Gastro-Entérologie;Autres affections non malignes du pancréas;non  ;Autres affections non malignes du pancréas
07M12;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Suivi de greffes digestives;Hépato-Gastro-Entérologie;Suivis de greffe de foie et de pancréas;oui  ;Suivis de greffe de foie et de pancréas
07M15;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Affections hépatiques sévères et affections du pancréas;Hépato-Gastro-Entérologie;Affections hépatiques sévères à l'exception des tumeurs malignes, des cirrhoses et des hépatites alcooliques;non  ;Affection hépatique sévère hors tumeurs malignes, cirrhos, hépatite alcoolique
07M16;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Autres affections hépatiques, voies biliaires;Hépato-Gastro-Entérologie;Ictères du nouveau-né;non  ;Ictères du nouveau-né
08C02;Chirurgie;Chirurgie;Orthopédie traumatologie;Chir. majeure de l'app. Locomoteur:  hanche, fémur, genou, épaule;Chirurgies majeures orthopédiques (dont hanche et fémur genou);Ortho Traumato;Interventions majeures multiples sur les genoux et/ou les hanches;oui  ;Interventions majeures multiples sur les genoux et/ou les hanches
08C04;Chirurgie;Chirurgie;Orthopédie traumatologie;Chir. majeure de l'app. Locomoteur:  hanche, fémur, genou, épaule;Chirurgies majeures orthopédiques (dont hanche et fémur genou);Ortho Traumato;Interventions sur la hanche et le fémur, âge inférieur à 18 ans;oui  ;Interventions sur la hanche et le fémur, âge inférieur à 18 ans
08C06;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Amputations;Ortho Traumato;Amputations pour affections de l'appareil musculosquelettique et du tissu conjonctif;non  ;Amputation pour affection musculosquelettique
08C12;Chirurgie;Chirurgie;Orthopédie traumatologie;Arthroscopies, Biopsies ostéo-articulaires;Arthroscopies, Biopsies ostéo-articulaires;Ortho Traumato;Biopsies ostéoarticulaires;oui  ;Autres Arthroscopies ou biopsies ostéo-articulaires
08C13;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Ablations matériel;Ortho Traumato;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau de la hanche et du fémur;non  ;Ablations matériel
08C14;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Ablations matériel;Ortho Traumato;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau d'une localisation autre que la hanche et le fémur;non  ;Ablations matériel
08C20;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Greffes de peau pour maladie de l'appareil musculosquelettique ou du tissu conjonctif;non  ;Greffes peau / parages hors brûlures
08C21;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Autres interventions portant sur l'appareil musculosquelettique et le tissu conjonctif;non  ;Autre chir app. musculosquelettique, tissu conjonctif
08C22;Chirurgie;Chirurgie;Orthopédie traumatologie;Chir. majeure de l'app. Locomoteur:  hanche, fémur, genou, épaule;Chirurgies majeures orthopédiques (dont hanche et fémur genou);Ortho Traumato;Interventions pour reprise de prothèses articulaires;oui  ;Reprise de prothèses articulaires
08C24;Chirurgie;Chirurgie;Orthopédie traumatologie;Chir. majeure de l'app. Locomoteur:  hanche, fémur, genou, épaule;Chirurgies majeures orthopédiques (dont hanche et fémur genou);Ortho Traumato;Prothèses de genou;non  ;Prothèses de genou
08C25;Chirurgie;Chirurgie;Orthopédie traumatologie;Chir. majeure de l'app. Locomoteur:  hanche, fémur, genou, épaule;Chirurgies majeures orthopédiques (dont hanche et fémur genou);Ortho Traumato;Prothèses d'épaule;non  ;Prothèses d'épaule
08C27;Chirurgie;Chirurgie;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie du rachis, Neuro-chirurgie;Chirurgies rachis/moelle;Rachis et moelle;Autres interventions sur le rachis;non  ;Autres interventions sur le rachis (hernie, laminectomie…)
08C28;Chirurgie;Chirurgie;ORL, Stomatologie;Chirurgie ORL stomato;Chirurgies ORL majeures;ORL Stomato sf bouche et dent;Interventions maxillofaciales;oui  ;Interventions maxillofaciales
08C29;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Interventions sur le tissu mou pour tumeurs malignes;Ortho Traumato;Interventions sur le tissu mou pour tumeurs malignes;non  ;Chirurgie des tissus mous
08C31;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie de la jambe;Ortho Traumato;Interventions sur la jambe, âge inférieur à 18 ans;non  ;Chirurgie de la jambe < 18 ans (traumato++)
08C32;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie de la jambe;Ortho Traumato;Interventions sur la jambe, âge supérieur à 17 ans;non  ;Chirurgie génou et jambe (traumato++)
08C33;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie de la cheville ou du pied;Ortho Traumato;Interventions sur la cheville et l'arrière-pied à l'exception des fractures;non  ;Chirurgie cheville ou pied (dont Hallux Valgus)
08C34;Chirurgie;Chirurgie;Orthopédie traumatologie;Arthroscopies, Biopsies ostéo-articulaires;Arthroscopies, Biopsies ostéo-articulaires;Ortho Traumato;Interventions sur les ligaments croisés sous arthroscopie;non  ;Interventions sur les ligaments croisés sous arthroscopie
08C35;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie du membre supérieur (hors prothèses);Ortho Traumato;Interventions sur le bras, coude et épaule;non  ;Chir bras, coude et épaule (traumato, coiffe rot, luxation...)
08C36;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie de la cheville ou du pied;Ortho Traumato;Interventions sur le pied, âge inférieur à 18 ans;non  ;Chirurgie cheville < 18 ans (malformation, surnuméraire, Hallux Valgus)
08C37;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie de la cheville ou du pied;Ortho Traumato;Interventions sur le pied, âge supérieur à 17 ans;non  ;Chirurgie cheville ou pied (dont Hallux Valgus)
08C38;Chirurgie;Chirurgie;Orthopédie traumatologie;Arthroscopies, Biopsies ostéo-articulaires;Arthroscopies, Biopsies ostéo-articulaires;Ortho Traumato;Autres arthroscopies du genou;non  ;Autres Arthroscopies ou biopsies ostéo-articulaires
08C39;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie du membre supérieur (hors prothèses);Ortho Traumato;Interventions sur l'avant-bras;non  ;Chir avant-bras (traumato++)
08C40;Chirurgie;Chirurgie;Orthopédie traumatologie;Arthroscopies, Biopsies ostéo-articulaires;Arthroscopies, Biopsies ostéo-articulaires;Ortho Traumato;Arthroscopies d'autres localisations;non  ;Autres Arthroscopies ou biopsies ostéo-articulaires
08C41;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgies main, poignet;Ortho Traumato;Interventions sur le poignet;non  ;Chir main, poignet hors carpien (trauma notamment)
08C42;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie des tissus mous;Ortho Traumato;Interventions non mineures sur les tissus mous;non  ;Chirurgie des tissus mous
08C43;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgies main, poignet;Ortho Traumato;Interventions non mineures sur la main;non  ;Chir main, poignet hors carpien (trauma notamment)
08C44;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgies main, poignet;Ortho Traumato;Autres interventions sur la main;non  ;Chir main, poignet hors carpien (trauma notamment)
08C45;Chirurgie;Chirurgie;Orthopédie traumatologie;Arthroscopies, Biopsies ostéo-articulaires;Arthroscopies, Biopsies ostéo-articulaires;Ortho Traumato;Ménisectomie sous arthroscopie;non  ;Ménisectomie sous arthroscopie
08C46;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie des tissus mous;Ortho Traumato;Autres interventions sur les tissus mous;non  ;Chirurgie des tissus mous
08C47;Chirurgie;Chirurgie;Orthopédie traumatologie;Chir. majeure de l'app. Locomoteur:  hanche, fémur, genou, épaule;Chirurgies majeures orthopédiques (dont hanche et fémur genou);Ortho Traumato;Prothèses de hanche pour traumatismes récents;non  ;Prothèses de hanche pour traumatismes récents
08C48;Chirurgie;Chirurgie;Orthopédie traumatologie;Chir. majeure de l'app. Locomoteur:  hanche, fémur, genou, épaule;Chirurgies majeures orthopédiques (dont hanche et fémur genou);Ortho Traumato;Prothèses de hanche pour des affections autres que des traumatismes récents;non  ;Prothèses de hanche hors traumatismes récents
08C49;Chirurgie;Chirurgie;Orthopédie traumatologie;Chir. majeure de l'app. Locomoteur:  hanche, fémur, genou, épaule;Chirurgies majeures orthopédiques (dont hanche et fémur genou);Ortho Traumato;Interventions sur la hanche et le fémur pour traumatismes récents, âge supérieur à 17 ans;non  ;Intervention hanche, fémur pour trauma, > 17 ans (hors porthèse)
08C50;Chirurgie;Chirurgie;Orthopédie traumatologie;Chir. majeure de l'app. Locomoteur:  hanche, fémur, genou, épaule;Chirurgies majeures orthopédiques (dont hanche et fémur genou);Ortho Traumato;Interventions sur la hanche et le fémur sauf traumatismes récents, âge supérieur à 17 ans;non  ;Autre chir hanche, fémur hors traum récent > 17 ans (Pseudarthrose, tumeur benigne...)
08C51;Chirurgie;Chirurgie;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie du rachis, Neuro-chirurgie;Chirurgies rachis/moelle;Rachis et moelle;Interventions majeures sur le rachis pour fractures, cyphoses et scolioses;oui  ;Chir majeure rachis pour fracture, cyphose, scoliose
08C52;Chirurgie;Chirurgie;Système nerveux (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie du rachis, Neuro-chirurgie;Chirurgies rachis/moelle;Rachis et moelle;Autres interventions majeures sur le rachis;non  ;Autre chir majeure rachis (Spondylolisthésis, retrécissement…)
08C53;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie de la jambe;Ortho Traumato;Interventions sur le genou pour traumatismes;non  ;Chirurgie génou et jambe (traumato++)
08C54;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie de la jambe;Ortho Traumato;Interventions sur le genou pour des affections autres que traumatiques;non  ;Chirurgie génou et jambe (traumato++)
08C55;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie de la cheville ou du pied;Ortho Traumato;Interventions sur la cheville et l'arrière-pied pour fractures;non  ;Chirurgie cheville ou pied (dont Hallux Valgus)
08C56;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie pour Ostéomyélites aigües (y compris vertébrales) et arthrites septiques;Ortho Traumato;Interventions pour infections ostéoarticulaires;oui  ;Chir pour Ostéomyélite aigüe (dont rachis) et arthrite septique
08C57;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie de la jambe;Ortho Traumato;Libérations articulaires du membre inférieur à l'exception de la hanche et du pied;non  ;Chirurgie génou et jambe (traumato++)
08C58;Chirurgie;Chirurgie;Orthopédie traumatologie;Arthroscopies, Biopsies ostéo-articulaires;Arthroscopies, Biopsies ostéo-articulaires;Ortho Traumato;Arthroscopies de l'épaule;non  ;Arthroscopies de l'épaule
08C59;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgies main, poignet;Ortho Traumato;Ténosynovectomies du poignet;non  ;Chir main, poignet hors carpien (trauma notamment)
08C60;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgies main, poignet;Ortho Traumato;Interventions sur le poignet autres que les ténosynovectomies;non  ;Chir main, poignet hors carpien (trauma notamment)
08C61;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie pour Ostéomyélites aigües (y compris vertébrales) et arthrites septiques;Ortho Traumato;Interventions majeures pour infections ostéoarticulaires;oui  ;Chir pour Ostéomyélite aigüe (dont rachis) et arthrite septique
08C62;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Chirurgie pour Ostéomyélites aigües (y compris vertébrales) et arthrites septiques;Ortho Traumato;Autres interventions pour infections ostéoarticulaires;oui  ;Chir pour Ostéomyélite aigüe (dont rachis) et arthrite septique
08K03;Chirurgie;Acte peu invasif;Orthopédie traumatologie;Traumatologie avec acte classant non opératoire ou anesthésie;Chirurgie Fractures, entorses, luxations, tractions;Ortho Traumato;Tractions continues et réductions progressives : autres que hanche et fémur;oui  ;Orthopédie acte peu invasif (abaltion broche, traction…)
08K04;Chirurgie;Acte peu invasif;Orthopédie traumatologie;Traumatologie avec acte classant non opératoire ou anesthésie;Chirurgie Fractures, entorses, luxations, tractions;Ortho Traumato;Tractions continues et réductions progressives : hanche et fémur;non  ;Orthopédie acte peu invasif (abaltion broche, traction…)
08K05;Chirurgie;Acte peu invasif;Orthopédie traumatologie;Traumatologie avec acte classant non opératoire ou anesthésie;Chirurgie Fractures, entorses, luxations, tractions;Ortho Traumato;Spondyloplasties;non  ;Orthopédie acte peu invasif (abaltion broche, traction…)
08M04;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Fractures de la hanche et du bassin;non  ;Traumatologie non opérée
08M05;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Fractures de la diaphyse, de l'épiphyse ou d'une partie non précisée du fémur;non  ;Traumatologie non opérée
08M06;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Fractures, entorses, luxations et dislocations de la jambe, âge inférieur à 18 ans;non  ;Traumatologie non opérée <18 ans
08M07;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Fractures, entorses, luxations et dislocations de la jambe, âge supérieur à 17 ans;non  ;Traumatologie non opérée
08M08;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Entorses et luxations de la hanche et du bassin;non  ;Traumatologie non opérée
08M09;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Maladies osseuses et arthropathies;Rhumatologie;Arthropathies non spécifiques;oui  ;Arthropathies non spécifiques
08M10;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Maladies osseuses et arthropathies;Rhumatologie;Maladies osseuses et arthropathies spécifiques;non  ;Maladie osseuse, arthropathie spécifique (Hémarthrose, psoriasis, goutte…)
08M14;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Autres affections rhumatologiques;Rhumatologie;Affections du tissu conjonctif;oui  ;Affections du tissu conjonctif (SPA, kawasaki, lupus…)
08M15;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Autres affections rhumatologiques;Rhumatologie;Tendinites, myosites et bursites;non  ;Tendinites, myosites et bursites
08M18;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Autres affections rhumatologiques;Rhumatologie;Suites de traitement après une affection de l'appareil musculosquelettique ou du tissu conjonctif;non  ;Suites de TTT après affection appareil musculosquel. ou tissu conjonctif
08M19;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Autres affections rhumatologiques;Rhumatologie;Autres pathologies de l'appareil musculosquelettique et du tissu conjonctif;non  ;Autre patho. app.musculosquel., tissu conjonctif (Epanchement, pied bot, raideur…)
08M20;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Fractures, entorses, luxations et dislocations du bras et de l'avant-bras, âge inférieur à 18 ans;non  ;Traumatologie non opérée <18 ans
08M21;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Entorses, luxations et dislocations du bras et de l'avant-bras, âge supérieur à 17 ans;non  ;Traumatologie non opérée
08M22;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Fractures, entorses, luxations et dislocations de la main;non  ;Traumatologie non opérée
08M23;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Fractures, entorses, luxations et dislocations du pied;non  ;Traumatologie non opérée
08M24;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Prise en charge médicale des tumeurs de l'appareil musculosquelettique, du tissu conjonctif et fractures pathologiques;Rhumatologie;Tumeurs malignes primitives des os;oui  ;Tumeurs malignes primitives des os
08M25;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Prise en charge médicale des tumeurs de l'appareil musculosquelettique, du tissu conjonctif et fractures pathologiques;Rhumatologie;Fractures pathologiques et autres tumeurs malignes de l'appareil musculosquelettique et du tissu conjonctif;non  ;Fracture patho et autre tumeur maligne app musculosquel (dont métastase)
08M26;Médecine;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du rachis;Ortho Traumato;Fractures du rachis;non  ;Fractures du rachis non opérée
08M27;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Maladies osseuses et arthropathies;Rhumatologie;Sciatiques et autres radiculopathies;non  ;Sciatiques et autres radiculopathies
08M28;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Maladies osseuses et arthropathies;Rhumatologie;Autres rachialgies;non  ;Autres rachialgies (lumbago…)
08M29;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Maladies osseuses et arthropathies;Rhumatologie;Autres pathologies rachidiennes relevant d'un traitement médical;non  ;Autre pathologie rachidienne relevant d'un traitement médical (lombalgie…)
08M30;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Maladies osseuses et arthropathies;Rhumatologie;Rhumatismes et raideurs articulaires;non  ;Rhumatismes et raideurs articulaires
08M31;Chirurgie;Médecine sans acte classant;Rhumatologie;Rhumatologie;Ostéomyélites aigües (y compris vertébrales) et arthrites septiques;Rhumatologie;Ostéomyélites aigües (y compris vertébrales) et arthrites septiques;non  ;Ostéomyélites aigües (y compris vertébrales) et arthrites septiques
08M32;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Maladies osseuses et arthropathies;Rhumatologie;Ostéomyélites chroniques;oui  ;Ostéomyélites chroniques
08M33;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Ablation de matériel sans acte classant;non  ;Traumatologie non opérée
08M34;Médecine;Médecine sans acte classant;Rhumatologie;Rhumatologie;Maladies osseuses et arthropathies;Rhumatologie;Algoneurodystrophie;non  ;Algoneurodystrophie
08M37;Chirurgie;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du bassin et des membres;Ortho Traumato;Fractures du bras et de l'avant-bras, âge supérieur à 17 ans;non  ;Traumatologie non opérée
08M38;Médecine;Médecine sans acte classant;Orthopédie traumatologie;Traumatologie et ablation de matériel de l'appareil locomoteur;Traumatismes du rachis;Ortho Traumato;Entorses et luxations du rachis;non  ;Entorses et luxations du rachis non opérée
09C02;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Greffes de peau et/ou parages de plaie pour ulcère cutané ou cellulite;oui  ;Greffes peau / parages hors brûlures
09C03;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites;non  ;Greffes peau / parages hors brûlures
09C04;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie pour tumeurs malignes sein;Gynécologie - sein;Mastectomies totales pour tumeur maligne;non  ;Mastectomie totale, subtotale, tumeur maligne
09C05;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie pour tumeurs malignes sein;Gynécologie - sein;Mastectomies subtotales pour tumeur maligne;non  ;Mastectomie totale, subtotale, tumeur maligne
09C06;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie du sein hors TM;Gynécologie - sein;Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale;non  ;Chir sein (hors TM, biopsie, kyste) (Hypertrophie, atrophie...)
09C07;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie du sein hors TM;Gynécologie - sein;Biopsies et excisions locales pour des affections non malignes du sein;non  ;Biopise et excisions locales sein
09C08;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Chirurgies rectum/anus (hors résections);Chirurgie digestive;Interventions sur la région anale et périanale;non  ;Chir sur région anale et périanale (Sunis pilonidal, abcès, plaie…)
09C09;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Interventions plastiques en dehors de la chirurgie esthétique;non  ;Greffes peau / parages hors brûlures
09C10;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Autres interventions sur la peau, les tissus sous-cutanés ou les seins;non  ;Chir peau, tissu sous-cutané ou sein(Tumeur lipomateuse…)
09C11;Chirurgie;Chirurgie;Gynécologie - sein;Chirurgie du sein;Chirurgie pour tumeurs malignes sein;Gynécologie - sein;Reconstructions des seins;non  ;Reconstructions des seins
09C12;Chirurgie;Chirurgie;Tissu cutané et tissu sous-cutané;Parages de plaies, Greffes de peau, des Tissus S/C;Greffes peau / parages hors brûlures;Chirurgie peau et tissu sous cutané;Interventions pour kystes, granulomes et interventions sur les ongles;non  ;Greffes peau / parages hors brûlures
09C13;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Chirurgies rectum/anus (hors résections);Chirurgie digestive;Interventions pour condylomes anogénitaux;non  ;Interventions pour condylomes anogénitaux
